a_alias	b_alias
SSB	TRAF6
THRA	GPS2
SNRPN	GAR1
MMP9	COL18A1
ARNT	HLF
MLH1	WDR61
PRKAA2	CAMKK2
PPP4C	TTC34
TNFRSF1A	ACTG1
PRKCD	FYN
ACTA1	FGD4
LRRC14	COPS6
CSPG4	C1QA
GUCY1A3	GUCY1B3
ZNF395	SAP30
YWHAB	SH3BP4
ITGA2B	RNF181
CHP1	BRF2
STUB1	PARK7
AKAP9	CLASP2
EGFR	CFL1
ZNF580	PAX9
SLC9A3R1	SLC26A3
SERPINH1	CDK9
FGFR1OP2	TRAF3IP1
RAPGEF2	CTNNB1
EIF3H	SRRM1
RBMX	USP45
ITGB3	CAPN1
DDB1	DDA1
MDM2	PIM3
NEPRO	SP1
RASSF5	MAP1LC3C
PROX1	SUMO1
MYB	PTMS
HOXC9	POLR3D
BLM	SYN1
ALK	EPHA1
PTPRE	PDGFRB
CHRM3	ARF1
IKBKE	EZR
USP11	CBX4
CRYAB	HDAC1
APEX1	ARF6
VAV1	FCER1A
TNIK	IMPDH2
TLR10	LUC7L3
FTSJ1	P4HB
VAV1	ABI1
CD247	SYK
BEX1	NGFR
CUL1	CDT1
PRKX	SMAD6
EP300	PARP1
MEF2D	HDAC1
AZGP1	USP53
UBE2J1	UBA1
CUL7	ABL1
RNF168	GTF2F2
PCNA	IKBKE
TPSB2	PIK3R1
SP1	HDAC3
EEA1	GZMB
WDR48	PHLPP1
WDR77	SNRPF
TRIM28	IKBKE
UBE2Q2	RNF10
ZNF281	NANOG
MMP9	MMP10
TRIM27	TAL1
TLE1	NKX2-5
BMPR1B	STAMBP
PSMA1	MCC
HDAC2	CDK2AP1
SUZ12	CTCF
MED14	MED18
IKBKE	PSMC6
POLRMT	KBTBD7
INTS5	POLR2J
PDIA6	PRKAB1
IRS4	PTK6
KCNJ4	SNTA1
LGALS3	ANXA7
FTSJ1	AIMP1
KEAP1	GABARAPL1
STMN1	VHL
GANAB	VDAC1
HDAC1	GATA1
MAPK8IP1	ITGB7
UCHL1	UBB
SCARB2	PLCG1
MYH1	EPB41
AMBP	CTSB
SMARCA2	SOD2
YWHAE	ADRM1
TBPL2	TBPL1
ACTN2	ANG
TNFRSF14	VCP
NCL	HIST2H2AC
STRN	STRIP1
TCEAL2	USP11
DDX39B	EMD
ACVR2A	DAXX
CPE	BDNF
TRAF6	ETF1
RRM1	PRKAB1
MOB4	STRIP2
CHTOP	ATG12
RUVBL1	MAP3K8
TSN	EPB41
PTCD3	HGS
S100A8	NFKBIB
EIF4G1	ARF6
PPP1R15A	MYC
KCNA5	SNTA1
AGTR1	GRK3
PIK3R2	ABI1
CD2AP	ABL1
ZNF155	NDRG1
DDX39A	BABAM1
TRIM63	ATP5B
KIF5C	CSNK2A2
MED10	MED16
HBP1	SAP30
HDAC2	NR2E1
SRC	CEACAM3
JAK1	IL3RA
HDAC1	KLF5
KLHL9	COPS5
SP1	MT-ND5
EXOSC9	EXOSC8
HDAC1	BHLHE41
PUF60	DST
COPB1	TAP1
RHOG	ARHGDIA
EIF1B	RPL22
RANBP9	SOS1
EIF2AK2	CDK1
HDAC1	NR2E1
RUVBL1	HSPA1L
RABIF	ITGA5
WDR59	WDR5
BCAP31	PKD2
SNRPB2	MCC
ELANE	CXCL8
CASP1	ARHGDIA
XIAP	HTRA4
IKBKAP	PSMC5
PHB2	MCC
U2AF2	FTSJ1
MED28	CDK19
MYC	STAG2
IFIT5	USP33
CIAO1	MCM3
CSMD2	ABL1
NKX3-1	SP5
TOB1	CNOT6L
YWHAQ	FXYD1
GANAB	ARF6
RHOG	MCF2
POLB	WRN
ACTA1	CYFIP1
EIF6	NUDC
RUVBL2	PIH1D1
SOX10	CEBPA
A2M	GZMA
IDH2	SLC2A4
CPNE4	CEP162
PSPC1	RIF1
PA2G4	E2F1
PPP3CA	ABL1
POLK	RAD18
CDH2	PTPRC
HSPA4	SUGT1
H2AFX	XRCC5
TCF7	BCR
TFCP2	HECTD1
MUC7	PRH2
GAB1	PTPRJ
CNTNAP3	APBA1
LIN7A	KCNJ4
