P62330	ARF6
P62333	PSMC6
Q9UPY5	SLC7A11
Q14500	KCNJ12
Q8WUI4	HDAC7
Q16576	RBBP7
Q16570	ACKR1
Q9UBU3	GHRL
Q15596	NCOA2
Q15599	SLC9A3R2
Q9UBU8	MORF4L1
Q9Y2L5	TRAPPC8
Q9BUL8	PDCD10
P61024	CKS1B
Q9UDY8	MALT1
Q13501	SQSTM1
Q13503	MED21
P13500	CCL2
NM_014871	PAN2
Q9NR28	DIABLO
O15146	MUSK
O00170	AIP
P12272	PTHLH
P30279	CCND2
Q9UQE7	SMC3
P07550	ADRB2
Q9Y265	RUVBL1
Q13618	CUL3
Q13619	CUL4A
Q8N8B7	TCEANC
P49720	PSMB3
