SUPT3H	TRRAP
PROSER2	YTHDC1
NIPSNAP3A	FAM219A
MTUS1	ORC4
THAP1	TXN2
MKRN3	TRIM5
MAPK8IP2	SYNE2
NONO	SYNPO
MARCH7	TRIM65
ATOH8	CYP3A5
G6PD	HSPB1
BBS7	BBS10
HAX1	RBX1
FRZB	SMAD1
MESDC2	PSMA5
IL18	CASK
PSMA7	PSMF1
TRIM9	TRIM27
TMC5	NUMBL
YWHAQ	RCOR3
RABAC1	CMTM3
BCL2L1	TLE1
GNAI1	RANGAP1
OSGEP	C19orf60
SNX7	HMOX2
SMAD3	CPTP
CSNK2A1	SRSF10
ADH5	PRDX1
GTF2H1	KPNA3
IKBKG	CCHCR1
ACTA1	HTRA2
SFRP1	KIAA1522
RNF114	RNF38
CDC25A	SOX5
GIT2	UBQLN1
TSTA3	ID2
MAPK6	PRKAB1
PCNA	UHRF2
STAT3	HIVEP1
CYHR1	ALDH3A1
MED31	ANXA7
UBE2D1	ANXA7
SMN1	FLAD1
HSPA8	ATP13A2
PAF1	RNF20
RPL17	CTBP2
RNF25	TRIM27
VCP	RPS6KA1
PTH2R	GRHPR
RAD9A	SF3B3
PGRMC1	CYP2C8
SMARCD1	YWHAG
A1BG	ANXA7
RASSF5	ADH6
CSNK2A1	LSM14A
CENPU	TUBB2B
TRMT2A	PIK3R3
PUF60	TTN
DGKH	TRAF5
RCN3	MKNK1
BST1	LBP
PTAFR	SPATA24
RCHY1	RPN2
CLEC7A	AIP
CSNK2A1	MCM2
DNAJB11	FAF1
SDHC	ARHGDIA
ABHD6	CKMT2
BMI1	SOCS2
PDPK1	GIT1
A2M	TNFRSF14
SREK1	HNRNPK
GOLGA2	YTHDC1
CUL3	DYRK4
LRRK2	LRRK1
ABCD3	TUFT1
CRMP1	DUSP4
SORD	RELA
RAB11A	YWHAG
WBP1	CACNA1A
AP4S1	TEAD3
TK1	EEF1A1
STAT3	MAP3K13
CKAP5	TACC3
TIGIT	NECTIN2
IKBKG	BAG3
ILK	RNF19A
TPI1	MAPK6
PEX11B	HTT
OAS3	DHX30
DACT1	SH3GL2
RAP1GAP	CSNK1G2
EP300	MDC1
CDKN1A	ACTL6B
NFKBIL1	CLEC18C
DSN1	PIK3R3
CSNK2A1	SSB
TCTEX1D2	PPP2CB
EP300	SAV1
CCKBR	ATP13A2
PCYT2	ADAMTS10
PPP1R12C	ATXN7
PFDN5	FBXW8
MNAT1	TRIM39
PALD1	IRF7
PPP1CC	LMTK2
GADD45G	EIF3G
GNAQ	ADHFE1
L3MBTL1	MCM3
MAPK8IP2	YY1AP1
TRIM32	VPS11
ZNF468	AATF
LRIF1	TAF1D
RASGRF1	CEBPA
TRAF3	USO1
PIN1	COL11A2
CDKN1A	A1BG
CCNA2	UHRF2
SMN1	COL4A5
GALNT6	TMEM9
CDK16	CDK5R1
CSNK2A1	CIRBP
MAP2K2	FAM65B
ASF1B	TTN
CENPB	TAC1
CSNK2A1	LTV1
HTT	HIST1H3A
HTT	HIST1H3A
STAMBP	ITGA5
MARK1	GJA5
MAPK6	THAP4
ATXN1	IMMT
MBOAT7	TMEM173
ZNF746	DUSP23
CSNK2A1	NXF1
CDKN1A	COL4A5
MCM3AP	TAF1D
SMN1	FGB
STX11	TNFRSF21
PIN1	MAP3K11
RCC1	WIZ
ATPIF1	GSK3B
NUDT3	TNNT3
KPNA2	CDK5RAP3
TK1	C19orf60
PDPK1	WDCP
IGF1R	ARRB1
ZNF281	EGLN1
CSNK2A1	PURB
PIAS1	HTT
HTT	PIAS1
CDKN1A	ALAS1
ASAH1	CAMK1D
CHD3	NR4A1
NPM1	ABCC1
NPM1	HOXA7
CST9L	TAB2
TSC22D1	GNB2
CSNK2A1	ARMCX3
CBX8	MOV10
CHUK	RPL27
EP300	ATF5
NELL1	CACNA1A
KMT2B	RPP14
LRIF1	CALR
RAD18	DZIP3
SLC20A1	RAPGEF1
PHAX	RPS6KA1
MAPK6	NELFB
CTNNAL1	PCGF2
TRIOBP	POLR1C
TSC22D1	GNB5
GIT2	NFKBIB
RPS27	RTN4
RPS6KA5	SMAD6
IMMT	HMOX2
LMNB1	GIT2
LIG4	GZMK
MKRN3	TRIM65
RGS2	TUBB2B
OSGEP	ZNF579
MAPK6	SHC1
ATXN1	CDIP1
GOT2	APCS
NPY1R	ATP13A2
RPS6KA5	TXNDC11
EID3	MAGED4
EWSR1	CHERP
FOS	GRHPR
FKBP8	BNIPL
HOXD8	ANXA7
SH3GL3	PTPRO
CSNK2A1	ANP32B
TRAF1	GIT2
SYT11	ATP13A2
BHLHE40	FBLN1
PCGF3	RING1
ADD1	GEMIN7
PCYT2	DNMT3B
MAPK6	SLC20A1
KPNA2	RANBP2
CAND1	FBXO25
ASXL1	EED
CCT4	RPS6KA1
RPS20	RABAC1
CLDN12	SEC13
NR1H2	LAMC3
MAPK8IP2	KIFC2
IMMT	PDE4DIP
EEF1A1	GSK3B
FBP1	BCL2L1
PRKDC	CENPA
PPT1	GNAQ
SMN1	SETDB1
BAIAP2	RTN4
ACADVL	GPHN
BUB1	RDH12
FAM219A	CSNK1G1
RTFDC1	SPRY2
RABEP1	CCND1
TMEM176A	TGM2
CA14	ZNF273
RCHY1	HRG
RCHY1	SERPINA5
PIAS2	ADA
GLB1	FOS
IFT140	PFDN1
DNAL4	GPBP1
CRMP1	ANXA7
MKRN3	PEX10
NR0B2	FN1
PIM2	GSK3B
MDM2	WT1
CEBPZ	UBE3A
PDIA6	SLC2A4
CSNK1A1	GNB2
NMT2	SMN1
FRAT1	KCNK5
CYP2E1	CLU
ESRRA	NXF1
EIF4G1	GK
MED27	SOX5
CDKN1A	NPRL2
NUDT21	NGEF
SOX12	SMAD4
GKAP1	SOX18
TGM2	HNRNPF
FLOT2	SPATA24
FAM118B	ZNF746
MAPK6	DNAJC28
BNIP3	TGM2
EDC4	GIT2
PI4KA	TNNT1
PMP22	DDX52
PTK2	BBS10
SKP1	FBXO41
EID1	UBE3A
MDM2	ANKRD17
MCM3AP	SUV39H2
RFC3	ARFGAP1
TRIM41	PHF7
CEP164	MAPK14
DNAJB11	EIF3D
PEX26	PEX19
EP300	ACSM5
PRRG4	VEGFA
SNX5	CDC37
AGO2	TBKBP1
MARS	CASK
CASP4	MYH9
SERINC1	ZMYND10
KPNA1	CRADD
RNF2	PCGF5
CTSL	BTN3A3
NELFCD	CACNA1A
FBN3	ANXA7
DHX15	PINX1
PDK2	VSIG4
TIGD7	CYP17A1
HMGXB3	CDK4
TEAD3	PIDD1
CDK1	TNNC1
TCF4	NR4A1
MAP2K4	RBBP8
FAM118B	ITFG1
RPSA	C6orf106
MAPK6	PPBP
VIM	KARS
CDC5L	EMID1
UBE2W	MKRN1
GJB5	TRIM2
LYN	UHRF2
SUPT5H	SIK1
ATF4	MPZL2
NOMO2	UBE3A
CHFR	RNF7
AHSA1	HSP90AB1
CDK4	SNCA
MAPK8	GUCY1A3
MED24	GSK3B
STIP1	LMO2
MPPED1	ANXA7
RPS27	ACTN4
ZNF32	POT1
DIABLO	UFM1
BCL10	CDK9
TIMM8B	EGFL8
KDM1A	TRIM39
DDX5	TNNT1
MAPK7	HSP90AB1
APH1A	GPATCH8
FHL1	HES1
FBN3	TSC22D1
TRIM8	BRAP
HP	TBL1X
STAT5B	TFG
C19orf44	CDC37
NONO	EWSR1
ADAMTS10	TK1
PTGES2	HTT
PTGES2	HTT
RPS6KA6	CEBPZ
MAPK6	FBXL16
ADAMTS10	SMN1
MAPK8	PNRC1
DNAJB6	POLR1D
HOXD8	PFDN1
RGS2	ZBTB48
UBR1	GSK3B
MAPK6	CA1
TK1	NGFR
HTT	ZFYVE19
HTT	ZFYVE19
GBP2	RPS6KA1
ZNF233	CACNA1A
STAT3	SRRT
CDKN1A	RPL18
C4BPA	GIT2
DNAJC11	RPS6KA5
NFKBIE	KBTBD7
SF3A2	SEC31B
PLK1	TP53BP2
GADD45G	ARPC5L
NME7	MAP4K4
OLIG1	MRPL12
GATA6	KPNA3
ASL	FBP1
SMPD1	ANXA7
NACAD	HDAC6
ZC3H12A	SMAD3
VIM	FAM118B
UBE2D3	RPLP1
BAG6	PTN
KPNA2	CCDC107
C11orf58	SEMA5B
ABCB11	NR4A1
GBP2	GSK3B
SMAD3	ZNF251
GTF3C2	GRIA2
PLEKHA4	PRKAA1
SIAH2	SETD2
SEPT2	STMN1
NR1H2	COL4A5
PLK1	C9orf114
PHAX	GRB7
CSNK2A2	ZNF670
MYD88	PFKL
ATF4	JUNB
HTT	HMGA1
HTT	HMGA1
SPTBN4	PFDN1
RBM39	U2AF2
TRIM34	TRIM5
VEGFA	U2AF1
ZZZ3	EPS8
HTT	HMG20A
HMG20A	HTT
ASB8	MCM7
ATXN1	CRY2
FEZ1	TAF1D
ASH2L	WWP1
SNRNP70	RELA
SLC23A2	AGPAT2
UBA1	TTC19
YWHAB	CBX4
DUSP23	EED
TUBB3	ANXA7
CEBPB	HOMER3
RIDA	SPEN
ZNF580	SH3GL2
MAPK6	RPL10
CSNK2A1	EIF2S1
BTG1	XRCC6
RPS6KA6	DHX34
EP300	RPL27
MAPK6	CNTN1
PIAS4	SERPINA5
NCOA5	CDC37
UBL7	CD4
CSNK2A1	RPLP1
RNF111	TRAF5
IRAK3	LDB1
POLR2E	SYT5
RASGRF1	GRK2
RBL1	MAPK6
SMN1	MAST2
SNX22	B3GALT2
MDM2	RFWD3
RPL38	AP2M1
TANK	ATP6V1H
NDUFS3	RASL10B
TRIM8	RNF41
STAT3	ECH1
MRPL23	NDUFAB1
SNX27	AKT2
CASP4	ELF4
TK1	SEPT6
GRB7	FGB
FAF1	HSD17B10
ITFG1	TNFRSF14
WIZ	SMN1
GRM1	GRK2
C8orf33	TUBB2B
ADH1B	IRAK3
ADH1B	IRAK3
EHD2	SPATA24
SNRNP35	TNFSF11
IKBKG	NLRX1
NOXA1	CACNA1A
NUMB	RPL3
MCM3AP	EP300
ATXN1	SF1
NEK3	BPGM
HAGH	BST2
COPG1	H2AFX
TK1	ALB
AFAP1	ACTC1
RCC1L	NME6
POLR2E	FKBP14
RAP1B	ZNF135
AAMP	TK1
CSNK2A1	DDX54
ZHX2	LAT
INVS	DDB1
RBBP8	IGFBP7
GATA1	PRKAA1
ZCCHC17	CACNA1A
TK1	SMC5
XRCC6	PNRC2
GK	GPD1
NAGK	SF3B3
IRF7	LTN1
IRF5	SGTA
PTBP2	EIF5A2
EXT2	PFDN1
CSNK1E	CADM4
MRPS6	RNF181
JAK3	UHRF2
CDC25A	PEX19
PIAS4	PHF11
ALAS1	TK1
BLOC1S4	AIMP2
SEC61B	ATP13A2
DUSP10	CMTM6
LRP6	ZNRF3
KRT18	EP300
PCSK6	CACNA1A
NUDT3	CCL11
DCTN6	RPSA
ACTR1B	MAPK6
TSC22D1	DNMT3B
MRPL44	ZNF235
RUVBL1	HJURP
DUSP9	CDK4
VIM	TAB2
SYNE1	APC
KMT2B	SEPT8
SUMO3	UBE3A
DEAF1	PELI2
PNN	CSNK2A1
AAMP	GABARAPL2
SET	ELF4
GSTA1	PPP2CB
CRKL	GAREM1
FGFR1OP	NAGK
NTM	LSAMP
RBCK1	MKRN2
TANK	KPNA2
SF3B3	ZNF579
ZC3H12A	KPNA2
XRCC6	EPS8
PRDX4	CFHR1
YY1	NR1H2
ACTL6B	SMN1
COPB1	LZTS2
KIAA0408	PFDN1
TRA2A	SELENBP1
LRRK2	YWHAH
MDM2	POT1
GTF2H1	REEP5
ZHX2	DHRS2
YWHAQ	LRRK2
RBBP4	ANXA7
NMRAL1	FOXJ1
IPO13	GK
C7orf25	RASSF1
FBN3	TK1
ATP5J	MAPK6
FRAT1	GRN
SMAD3	RIOK2
HDAC11	MAPK6
MDM2	RELA
FAM118B	FAM20C
STAT1	MT-ND4L
CDKN1A	ING5
OGDHL	STAT3
RBL1	IRF3
NME7	TUFT1
EIF4G1	UBE3A
IMMT	TUBGCP3
FLNA	OPRM1
EIF3C	HMOX2
CSNK1E	HSP90AB1
SMN1	SUMO3
VPS52	CACNA1A
IVNS1ABP	RPL6
TUBA1B	TOM1L1
CEACAM6	CEACAM7
VBP1	PIK3R3
DOCK7	GRB7
TNRC6C	CNOT3
NHLH1	HIVEP1
SNAPIN	BNIPL
TK1	CDK4
SNX2	SNX5
ANXA7	TMEM108
CKAP4	CCDC53
REEP5	RAB5B
SPRED1	TTC19
NXF1	SGTA
ABI1	CACNA1A
KLF11	CLU
SMN1	CCDC90B
FAM118B	NGEF
LNX2	RLIM
DNM2	RPS2
JAK3	GTF2B
RGS14	WAS
TSC2	TK1
ELAVL4	PHF20L1
TUBA1A	DUSP23
DEAF1	CDKN1A
SMN1	EIF3G
FOXJ1	TWF2
TP63	GCGR
C8orf33	SF3B2
KHSRP	STK3
NEUROD4	LRRN2
IRF3	PEX19
FCGR3A	ZBTB25
DAAM1	AMBP
TUBA1A	NUDT3
UBE2E1	RNF20
GADD45A	GAPDH
CSNK2A1	HNRNPDL
NUP62	ATXN7
ERCC3	KPNA3
PPP3CB	IRF2
USF2	BIRC5
GLRA2	DDX24
SUPT20H	STAT3
ASB8	RCN1
RBBP4	SMN1
MAPKAPK5	ZNF576
POR	RABEPK
NECTIN3	TIGIT
TRIM27	BMI1
MAPK7	SH2D2A
ZNF235	PFDN1
NFKB1	ABCC2
SERPINA4	YAE1D1
POT1	MYO5C
RPL14	KLF10
LAMB1	ATXN7
CDKN1A	COPS6
PIK3R2	PIK3CB
MAP2K5	ASRGL1
MDM2	SORBS2
CERS2	SLC39A1
TFAP2C	IKBKB
CASP9	HSD17B4
DUSP10	SNX2
CASP2	RPL30
TESK1	PFKL
ATXN1	LITAF
MAP3K7	RBX1
RABEP1	RGS17
F13A1	CDKN1A
AP3S2	E2F4
CCDC126	HTT
CCDC126	HTT
UGT1A1	UGDH
PAX6	NKIRAS2
VPS11	LRSAM1
SNX1	ARFIP2
FYN	TNNT1
MRPL44	NGEF
ASIP	MC3R
AMY2A	TRIAP1
DGCR14	CDK5RAP3
NPTN	SURF2
ORM1	BLVRB
LYRM4	NECTIN2
PPP1CA	NDP
RGS2	METTL18
VIM	UROD
BCL2	CDK2
PPP1CA	MAP4K4
PCGF3	BCORL1
YWHAE	ABL1
CREM	UBE2I
CMTM4	APPL1
GLS2	GRHPR
CXCR4	ATP13A2
SNX17	RLIM
NASP	PTK2
EIF3C	MAPK6
DNM2	DNM1
CSNK2A1	RRP9
GSK3B	KHSRP
DEFB1	MAP4K2
JMJD1C	TK1
ADAP1	GSK3B
ANXA7	COPS6
CRMP1	RGS2
ANXA7	CCT7
PSAT1	MAPK6
CDKN1A	CTSB
GRIK2	TRIM25
RGS2	RIN3
NPM1	ACY1
NCAPH2	FOLR1
EIF3A	CACNA1A
RALGDS	CD68
SMN1	CARHSP1
MAPK6	AMPH
MAGOH	CORO1A
SMAD3	RCVRN
C11orf58	RPLP1
CREB3L4	GANAB
TNIK	ANK2
MMP23A	GLRX
CDC25A	VAMP8
RGS2	TSPAN15
SH2B1	RHBG
PPP1CA	PPP1R16A
PRDX4	CYP27A1
TRA2A	LBP
ABCD3	PSMA1
UBR1	SPRY2
RABEP1	TRIM26
MYC	KPNA2
ATP5J	RPS6KA3
HADHB	CDKN1A
ASXL1	EZH2
CSNK2A1	NAF1
FHL2	SIRT1
NR3C2	RABAC1
MNAT1	TRIM26
CCAR2	HTRA2
ZC3H15	C8orf33
MAPK8IP2	GBP2
COPS5	APCS
BMF	TCF12
HOXA1	PIK3R1
HIST1H2BD	HIRA
CACNA1A	RPS17
EIF2AK2	EIF6
DEAF1	RAD23B
AKT2	CCL14
CDCA8	NEK3
BNIP3L	GNB5
NCF1	MYBPC3
SMAD7	NEDD4L
ASMTL	HLA-DRB4
PHAX	RAD23A
NUDT21	POLR2C
KIFC3	SOX30
GTF2I	TAB2
ACTL6B	GSK3B
RPA1	HAX1
PPHLN1	SQSTM1
CMIP	PIK3R1
TANK	BIK
TAGLN2	EHD2
MGEA5	GSK3B
CHPF	ARHGEF5
RPS6KA6	FBN3
CSNK2A2	ADH1A
SIAH1	PUF60
GDF9	ANXA7
TMEM106A	ARF1
MDM2	UBE2D2
ATP5B	HMOX2
EHMT2	CACNA1A
TDP2	DLX3
FBP1	KLRC2
MT2A	RCHY1
EFEMP1	ATXN7
ARL2BP	CAMK2D
EHMT1	ATXN1
GADD45G	PDE4DIP
C8orf33	ZNF205
CYFIP2	SMAD4
RCHY1	PRDX4
DARS	PIK3R3
EXTL1	SDR16C5
ATP6V0D2	RBM15B
PPP1CA	PPP1R9A
PML	SIRT1
TRIM23	ATXN7
SP100	CREM
RHOA	FAM65B
KPNA4	CSNK2A1
MAPK8	HIVEP1
PSMA7	CAPN10
RCHY1	BIRC3
HP	TP63
EP300	UBQLN1
ILK	ZNF133
TRAIP	UBOX5
BDNF	JUNB
LYAR	FGF18
CD7	NFKBIA
MNAT1	BEX3
PCDHGC3	HGD
IRF4	TLK2
KLF11	TIMM13
ZNF250	TNNT1
RPL36AL	GSK3B
RPS24	PNISR
RCC1	APLP1
RNF125	TRIM46
WARS	DNMT3B
GEMIN7	RPLP1
CRKL	POLR1D
RPS24	PAH
ARAF	IRF7
ADCY7	PLSCR1
QARS	CDK4
PTPN5	CUL5
UBE2D1	CDKN1A
PARK2	RHOT1
ORM1	GSDMB
PFDN1	TTC38
TTC38	PFDN1
CACYBP	PINX1
CDK1	PML
TK1	PLXNA3
GAB2	MAPK1
ATF4	REPS1
CENPB	GADD45A
HMGXB4	UROD
CSNK2A1	LARP7
CRIM1	ATXN7
SKP1	CDK4
C1QA	UBQLN1
TRIOBP	IKBKG
NSMCE4A	NSMCE3
HACL1	MAPK6
TUBA1B	SLX1A
RAB23	ARFGAP1
TNFRSF1A	SGTA
LAMTOR5	YTHDC1
LAMTOR5	YTHDC1
ANXA7	NGFR
RCC1	UNC119
RNF166	RNF41
MDM2	RIDA
TNIP2	PSMD9
RPS6KA6	MPP1
ISL1	RELA
KPNA2	SPRY1
KIF3B	LMO2
PROS1	RPSA
AP1S3	PRKAG1
GAK	ATP13A2
ZNF148	EP300
C1R	EP300
RPL34	DAPK3
NPRL2	ANXA7
MARS	TNNT1
CSNK2A1	HSP90AB1
CKAP5	CACNA1A
TSC22D1	CARHSP1
EHMT1	MPHOSPH8
ZNF205	WT1
CYP2E1	PTN
JMJD6	BRD4
NFRKB	EPHB3
TIAM2	H2AFX
SNU13	CHST1
GADD45G	DDAH2
PIAS4	PIAS2
SOCS3	HIVEP1
CDKN1A	CHGB
LYAR	PHF20L1
TXN2	ALDOB
HOXC11	HTT
HOXC11	HTT
ECM1	BNIP3L
VCP	UBXN2B
MAP3K11	EPS8
MNAT1	RNF41
PPP1CA	CXXC1
MPP1	NR1H2
IRAK2	TARDBP
REEP6	SNX1
MAPK8IP2	RPS6KB2
JMJD1C	NUDT21
KRT18	YTHDC1
EPB41L4B	LAMC3
CMTM6	SUMO2
RPL13A	RPL30
SYK	SLC4A1
AIMP2	FGB
PML	NFKB1
SOX5	UQCRFS1
EP300	GOLGA2
MAPK7	ACTN4
AR	FKBP4
ADCY7	BUD31
EP300	DECR2
BIRC2	TRIM34
RAD18	TRIM8
MAPK7	ZBED6CL
EP300	SEPP1
B3GALT4	DAAM1
FES	ZNF775
SKIV2L	CDKL5
A2M	ANXA7
TRAPPC4	TFIP11
SHC1	CBLC
OTX2	CDK4
GRIK2	CALCOCO1
KPNA1	ORC4
PFKP	WNK1
DUSP3	CASK
CSNK2A1	MRPL38
DYNLT1	TUBA3C
BICD1	STAT3
MAPK8IP2	MAGED4
DHODH	TMED10
PPP1CC	BIRC5
HMGCL	ADAMTS10
HAUS5	YAE1D1
BRIX1	GSK3B
MAPK8IP1	VRK2
H2AFY	ERBB2
CD14	TNFRSF1B
BARD1	MDC1
PLLP	MMP14
WNK1	PVR
C9orf50	PPP1CC
CDK2AP2	EEF1G
CYP4F12	SOD2
FHIT	TRIM23
SRPRA	RPL10A
RASA1	ZNF579
CDKN1A	ANGPT2
RPS6KA5	FN1
MAPK6	RAP1GAP
PLA2G12A	RPS15
RCHY1	RAB11A
DDX17	PIN1
LMO2	AXIN1
FBXO41	DISC1
ABCC5	RBP5
TK1	JADE1
CDAN1	IPO4
THAP8	TMED9
SREK1	SF3A3
RUFY2	SF3B3
GPM6A	PAM16
XRCC5	RNF8
ATXN1	ASNS
CDKN1A	UNC119
RGS2	KLK8
APH1A	TLE1
CEP70	SUV39H2
CBFA2T3	MATN2
IKBKG	DDIT3
CXCR4	MYBL2
TRIM27	RBX1
TRIM22	CASK
STAT3	CORO1A
PDPK1	SBF1
ZBED8	EEF1G
NUDT21	PTN
HTT	EVL
TGM2	GRN
ILK	TWF2
EIF1B	PEX19
DOCK7	ANXA7
IRF1	CDKN1B
PYCR1	NUDT21
RAP1B	FAF1
MAPK8	MKNK2
CASP2	EEF1A1
USP25	SYK
FHIT	RAB40B
BTRC	WWTR1
PEPD	SPP1
BRCA1	JUP
IL9R	CRADD
NIPSNAP3A	CCDC90B
CDKN1A	RBBP4
RAP1B	DDAH2
TNFSF11	SBF1
CEACAM6	CARTPT
MNAT1	TRIM5
TPPP	CDK11B
SNRPN	MAFG
HOXA7	PEX5
SMARCC2	RAB1B
PDCD6IP	TNIP2
PYCR1	CDK2AP2
FTH1	MYL3
DUSP7	EEF1A1
CYP17A1	CDO1
IRF7	AIP
A2M	SMN1
ITGB1	FN1
PRKACG	CDK17
TAF9	TAF8
RBL1	RBL2
GSK3B	DNMT3L
SH3GL3	ARHGEF6
TMEM165	REL
RPS10	DNMT3B
TBK1	MTPAP
FBN3	CDKN1A
PSME1	PIK3R3
C7orf25	CRYM
SERPINA4	TNNT1
CALCOCO2	TRAF6
COL4A2	SMN1
ERO1B	PDIA4
PLPP2	MRPL44
CEP126	TNFSF11
GAA	STAT2
ARHGEF11	GNA13
XRCC6	VBP1
ACTN1	NUMBL
ACTB	ANXA7
CSNK1E	FAM83D
AAMP	C8orf33
CREB3L4	SLC19A3
POLDIP2	HDAC6
SPOP	GIT2
SHC1	PRKRA
RCC1	ACTB
HOXA9	PRMT5
MAGEA1	EID1
AGO2	TBK1
DAZAP2	SQSTM1
MCF2L	AIMP2
CEP70	PAM16
A2M	TK1
HMGN1	SLC38A3
EXOSC2	DIS3L
RBL1	SNRPD3
C11orf58	ZBTB48
KPNA2	MVP
TPD52L2	ADORA2B
UBXN7	CUL2
MAPK6	HNRNPD
HSPA5	CPT1A
CSNK2A1	DEK
MAPK8	ZNF219
RCHY1	DCUN1D5
CLIC1	MYOC
NUDT3	MEX3B
TDRD3	FUS
IKBKG	HPD
TBK1	STX11
MAPK6	HNRNPA0
EP300	PPP2R5C
PPM1G	RPS6KA1
GADD45A	NRBP1
FBN3	NUDT21
PSAP	UBE3A
PELI2	HNRNPK
TRIM46	TRIM9
TSC22D1	CHD3
RELB	MT1M
HSF1	CHST10
DNM2	CCT7
KEAP1	AK4
A1BG	SNCA
ZNF746	GSK3B
RPS6KA5	DDAH2
CSNK2A1	THRAP3
NEK2	PDE4DIP
CHD3	HSD17B10
THBD	PSENEN
FUS	RBMX
IMMT	TNNT1
PIK3R3	KHDRBS1
MAD2L1	TP73
MZF1	CDK4
CSNK2A1	EIF4B
ACTB	BCL2L1
HNRNPA1	TFEC
GSK3B	SYNE4
SNX21	COX6A2
RABAC1	REEP5
EP300	SOX4
CD300C	MED20
JUP	PTPRJ
GK	NR4A1
ATXN1	SLC4A2
EWSR1	EP300
CLGN	GDE1
AURKB	CIB1
PIAS3	SERPINA10
NEGR1	NTM
EPHA8	PSMC5
MPP3	ARL2BP
CSNK2A1	ZC3H15
GLRX	AQP5
USP22	MRPL44
RBM48	ANXA7
SOX30	DCAF4
FUS	MDH1
SMC1A	MDC1
CDKN1A	SIPA1
PLEKHJ1	FAM109A
TRMT6	FOXJ1
ADSSL1	AZIN1
PYCARD	RALB
NONO	IRAK3
RIF1	SMARCD1
DPYSL4	SH3GL2
NUPR1	ABCG8
ZNF346	ANKHD1
TRIM26	RNF126
RUVBL2	CENPA
SH3GL3	CBLC
CEP126	TNFRSF14
KAT5	ZBTB8A
ARMC1	EPS8
ACTN2	RPL35
QARS	GADD45A
CDK4	DDAH2
PRMT1	CDC37
CHRNA7	ATXN1
SMAD3	NR4A1
COMMD8	COMMD3
SMAD3	PCK2
SUMO2	HDAC9
PRDX6	ORM2
RBCK1	RNF181
RNF34	TRIM23
TRIM27	TRIM43
KPNA2	HNRNPC
XRCC6	RASA1
ZNF135	GSK3B
CYBA	CPT1A
SPTBN4	GSK3B
ZC3H12A	BTRC
NFE2L2	RBMX
PLG	MAPK14
SP110	OSGEP
GADD45A	UBR1
CRMP1	RPS6KA5
TK1	MPP1
PLSCR1	FBLN1
FAM208A	AP2M1
ZNF331	MAPK6
STAMBP	CYP2C9
DHX58	DICER1
SSBP2	TOM1
MITF	HK3
SUGT1	NR4A1
JAG2	ATXN7
ZXDC	SH3GL2
TCTA	ATXN1
USP7	TRIM8
EP300	PLSCR2
CDK4	HSP90AB1
PIK3CB	DVL3
YWHAG	ANKHD1
EIF4EBP1	GSK3B
TUBA1A	HTRA2
NUMBL	TRAF5
PCGF3	BMI1
ANXA1	COPS6
KPNA2	RILP
SOX8	JAM2
NNMT	ATF6
TRIM26	PHF7
SMN1	SP110
TSC22D1	WIZ
SF3B1	PPP1CA
VPS35	VEGFA
BRCA1	HIVEP1
MAD2L1	RABAC1
TAX1BP3	PLK4
PSMA3	NUMBL
HTT	MAGEB6
HTT	MAGEB6
PRKCA	PSMB4
PPP3R2	CD14
ZNF76	EP300
RNF166	TRIM39
GADD45A	FBN3
KPNA2	ZBTB7B
PPP1CC	SMG6
CTBP2	PROX1
MAPK8IP2	PLXNA3
ALDH2	RPL13A
HLA-DMB	MDM2
TRIM46	BRCA1
VCP	FAF1
MAPK8IP2	UNC119
GADD45A	SYNE4
TMEM98	RABEPK
BCAT2	PTGDS
OAS3	FTSJ3
DACT1	C7orf25
ALDOC	MAP2K3
SH3GL3	TNNT1
TP63	PINX1
PDPK1	XRCC6
ITFG1	MRPL44
RASGRF1	EHD4
RBBP8	CLU
SNX5	PRKRA
ADCK5	RHOD
EXT2	ANXA7
MYBPC1	FHL1
TNFRSF14	CD160
TUBB4B	SCG2
ACTB	TK1
ZYX	RGS2
GADD45G	HAP1
ACTB	MYOC
CUL4B	UBXN7
PCGF3	TRIM9
SHMT1	DEDD
CSNK2A1	RRP1B
CGRRF1	PEX10
MORC4	STAT3
GJB5	MYL2
PPP2CB	ACP5
PTPRB	MET
PIN1	TSC2
CSNK2A1	CLASP2
SHKBP1	CUL3
CDK2AP2	HSF4
UTY	PRDX2
AIDA	PINX1
HTT	RNF20
HTT	RNF20
APLP1	RAP1B
HIST2H3A	CHAF1A
PLN	DVL3
RPA2	SLC17A9
KPNA2	ACTN1
SMN1	SDF4
TSTA3	RIOK2
INPP5K	TANK
SMAD3	GIT2
MKRN3	RNF7
EDRF1	GEMIN7
HMGXB3	PFDN1
NUDT21	FUNDC2
MUL1	TAP1
GIT2	CORO1A
RPL7	NR4A1
WASL	IPO5
MAPK6	COPS6
CCNG1	PLEKHA4
PPP1R15B	PPP1CC
PIK3R2	STAB1
KRT18	CDC5L
CSNK2A1	MCM3
CSNK2A2	HIST1H1C
TDG	JUNB
NMT2	ANXA7
CSNK1E	TNS2
NEK2	GIT1
NSMCE2	SMC6
PPP5C	MAP3K7
CDC25A	LMO2
PPAT	EPT1
AIMP1	IQGAP1
TK1	NRBP1
DUSP2	MAPK1
HNRNPK	SUMO1
TK1	MRPL37
ARHGEF11	GNA12
SMN1	JADE1
SLAMF7	MAK
MBD4	HTT
MBD4	HTT
RCHY1	FADS6
CENPU	PLXNB2
MAPK6	RAB31
