SUPT3H	TRRAP
XRCC6	PRPF40A
EWSR1	TAF1
LCK	MS4A1
TDG	SUMO3
TGIF1	STK16
EDNRA	GNAI2
DNAJA1	MAP3K1
IL2	CD53
SNW1	VAV2
LYAR	KRT31
COL4A1	FN1
DMD	PGM5
PELP1	SENP3
RHOC	ARHGDIA
MYOD1	CDC34
DISC1	SNX6
PLCG2	CBLB
RPL17	RPL3
CYFIP2	PRPF40A
SPA17	AKAP3
SMARCB1	SMARCD1
TLR4	SYK
APC	NUP58
NUP54	APC
TNNI2	TRIM63
SNRNP200	SF3A2
CEP63	INTS6L
CLEC3B	THRAP3
ARHGEF7	CD244
MAD2L1	ANAPC2
COL4A5	MATN2
RBCK1	UBE2G1
YES1	CDCP1
PPP6R3	PPP6C
PIK3CA	IRS1
APC	SPTBN2
FASLG	SRGAP2
XPOT	TNFRSF1B
FN1	COL4A5
VCP	CHEK2
TIAF1	RIPK3
PROX1	CREBBP
PPFIA4	ERC2
PRPSAP2	YWHAE
SLC25A5	TNFRSF1B
LCK	JAK3
C1QB	HRG
KPNB1	RELB
GEMIN4	GSK3B
RBL1	MYC
TAGLN2	VHL
CDC16	ANAPC11
RAB11B	SREBF2
PDE3B	YWHAB
PYGM	DEGS1
EIF4G1	G3BP1
RPL8	RPS2
IKBKG	SFXN1
CDH1	ITGAE
SMAD3	CHUK
ACTC1	WAS
DDB1	DCAF12
HSPA8	CCND1
PSMB2	PSMD13
BCL2	HRAS
PYCARD	SRF
CD55	ADGRE5
USP7	RELB
PTP4A3	CDK2
UBE2U	RNF181
STIP1	NME2
ELSPBP1	TAL1
SP1	EPAS1
VPS11	UBE2U
MTNR1A	PGRMC1
MEGF10	BAHD1
CTNNB1	PTPRB
TANK	HSPA9
MYSM1	PRMT5
MYO6	RIPK3
ARID4A	EID1
WBP2	ITCH
TP53BP1	DCLRE1A
SMARCC2	SMARCE1
PAK3	ARHGEF6
SRC	ARRB2
SCG5	PCSK2
MYC	SKP2
PRPF6	PRPF4
EIF1B	EIF3D
EPB42	EPB41
DLL1	NOTCH1
STK24	STRN3
NCF1	GAA
TFE3	VARS
ULK1	GABARAPL1
BBS4	ALDOB
ZNF142	CHMP5
POLR1A	POLR3A
FGD1	CTTN
PRPSAP1	PRKRA
ACTG1	MLH1
AGO4	IPO8
CRKL	IFNAR1
PSEN1	APOE
TRAF6	UBE2D2
FN1	KLK3
FYN	PTPN5
HSPA2	RIPK2
PPP5C	CPNE1
LIG1	CDK2
CUL1	CDK2
DBN1	HOMER2
PSMD4	NAP1L1
SIN3B	MXD1
STAMBP	CHMP5
FASLG	SH3RF2
SP100	SUMO3
CRKL	MSL1
MYO6	DLG1
PTPN21	TEC
LASP1	ACTC1
PPIH	PRPF18
CDKN1B	RPS6KA1
SERPINF2	DEFA1
HSD17B4	ACAA1
USP14	PSMC1
HOMER3	HOMER1
MYL12B	MYLIP
UBOX5	UBE2D3
TIE1	PIK3R1
ADNP	CBX1
CD2AP	HBP1
TUBA1A	GRM7
GRN	CDK9
MAP3K1	SLC1A5
CBX6	PCGF3
USP14	PSMC5
PRKCD	MTOR
SNRNP200	PIN1
SNRNP70	SCAF11
CREB1	HIPK3
UBE2D1	MUL1
YWHAQ	EDC3
MMP11	PRPF40A
IPO4	PTP4A3
PSMD13	CRB1
