Gene	Count
NSRP1	0
OR6B3	0
DUS1L	0
C11orf87	0
C18orf25	1
DAW1	0
YPEL3	5
YPEL2	1
TULP2	1
EPHA3	83
SRSF8	0
CDKL3	3
TAF1B	13
SPAG11B	0
NOL4L	2
RIMS4	1
FGF12	17
MBNL3	2
CSAG1	2
METTL14	4
SPANXN4	0
MRPL43	0
C6orf201	0
OCEL1	0
CDC42EP3	7
ARL6IP4	1
ZNF514	0
POLR2E	4
RSRP1	0
SCAF11	0
C11orf52	0
KIAA1841	0
NSMCE4A	0
PHF7	1
SRPK1	54
CLK1	20
ZNF444	8
FAM76B	0
WDR55	0
EMILIN1	12
TAAR8	0
DDX47	2
TRA2B	21
ARHGAP12	4
RBM23	0
YTHDC1	6
LINC00312	5
C11orf63	0
RPN1	22
SCFD2	2
C17orf75	2
MOCS3	1
ZNF709	1
ASB7	1
MPP5	9
CCDC93	0
CEMP1	2
MTMR6	2
NOL11	0
MTMR1	3
IFT52	0
ZKSCAN1	2
RNF185	1
XRN2	13
USP17L1	0
HRNR	2
HAUS3	2
XPOT	4
KCMF1	7
HERC1	12
HIST1H2BL	2
TRIM47	2
GBAS	3
CCDC138	0
ERMP1	1
SNAP47	2
TRIM4	7
NBPF3	1
TMEM86A	0
BRIX1	0
PGBD5	2
PABPC1L	3
GUF1	1
FBXO45	6
ZNF326	1
NUDT13	1
NUDT19	0
DCAF13	0
ARID5A	0
METTL3	12
AIMP2	19
CORO1B	3
ZNF14	2
CCDC71	0
RFTN1	0
DHRS7B	0
APMAP	0
ZNF543	0
TPP2	5
MAST1	4
IER5	9
IER2	7
MAGEF1	1
