__mclCluster	name
-1	KAT5
6.0	ACTL6A
505.0	RAD51C
505.0	XRCC2
506.0	RAD23A
506.0	XPC
487.0	UBE2D1
3.0	CHD3
-1	RPS29
507.0	CDC20
132.0	TAF8
132.0	TAF10
493.0	COPG1
508.0	POLR2J
508.0	POLR2G
-1	PSMB5
509.0	BANF1
509.0	TMPO
-1	KDM1A
89.0	MBD3
-1	UBE2E2
-1	MID1
510.0	FANCG
510.0	XRCC3
139.0	IL20RA
139.0	IL20
511.0	BCL2L11
511.0	BAX
512.0	GUCY2C
512.0	GUCA2A
513.0	FGG
513.0	F13A1
22.0	SIN3A
22.0	IKZF3
30.0	OTUB1
71.0	RARA
514.0	ORC4
514.0	ORC1
173.0	UBE2D3
-1	BIRC3
515.0	AP1M2
515.0	TGOLN2
72.0	ACTR1A
72.0	DCTN2
516.0	CCNT1
516.0	SUPT5H
517.0	SMN1
517.0	SNRPB2
114.0	ATG13
114.0	ULK1
17.0	KPNB1
17.0	KPNA6
-1	E2F3
-1	TFDP2
-1	TSLP
-1	STAT5A
518.0	MED25
518.0	MED1
82.0	F2RL2
82.0	JAM3
-1	RPLP0
329.0	RPLP1
-1	COPE
-1	COPB1
9.0	FEM1B
9.0	TCEB1
111.0	NOD2
111.0	MAP3K7
3.0	NR0B2
57.0	EIF2B5
519.0	WASF1
519.0	CYFIP2
32.0	PRKCI
32.0	CDC42
56.0	BRCA1
56.0	MRPL36
249.0	CTNNB1
339.0	FBXW11
19.0	STRN3
19.0	STK24
6.0	SKP2
520.0	PCSK2
520.0	SCG5
521.0	SMARCE1
521.0	SMARCC2
1.0	DCAF12
1.0	DDB1
522.0	G3BP1
522.0	EIF4G1
-1	IRS1
389.0	PIK3CA
45.0	PPP6C
45.0	PPP6R3
507.0	ANAPC2
-1	MAD2L1
-1	SMARCD1
-1	SMARCB1
117.0	SENP3
117.0	PELP1
141.0	PGM5
141.0	DMD
42.0	EGFR
239.0	HSPA4
-1	COL1A2
78.0	AMPH
78.0	SH3GL2
99.0	PROC
99.0	THBD
7.0	CDK2
183.0	MCM4
-1	F2
248.0	SERPINA5
523.0	SIN3B
523.0	MAD1L1
-1	PSMA4
-1	PSMB6
-1	ARPC2
-1	ARPC5L
21.0	CDK8
21.0	MED14
524.0	WWOX
524.0	ERBB4
10.0	MST1R
10.0	CBL
124.0	CTNNA1
-1	APC
525.0	GRIA2
525.0	GRIP1
270.0	UBE2I
129.0	HDAC4
14.0	TRAF6
-1	PSMB4
90.0	PFDN4
90.0	VBP1
526.0	DCAF7
526.0	DYRK1A
527.0	MTOR
527.0	DEPTOR
528.0	E2F4
528.0	LIN9
-1	SF3B3
393.0	TCERG1
33.0	MFNG
-1	PSMD13
529.0	MAGED1
529.0	MSX2
93.0	MAPK1
77.0	SHC1
-1	PRKCD
24.0	SUPT16H
24.0	H2AFX
29.0	RPS3
29.0	RPS16
11.0	MDM2
309.0	CSNK1A1
3.0	MXD1
530.0	LAT
31.0	HIST1H3A
31.0	HAT1
-1	XIAP
225.0	BBS9
450.0	SQSTM1
67.0	KEAP1
140.0	GTF2H3
140.0	MNAT1
3.0	DDX5
134.0	BCL2L1
134.0	SIVA1
51.0	STK3
202.0	STK4
-1	TAF5
-1	TAF7
48.0	TBP
48.0	ZNF76
-1	EIF3C
57.0	EIF2B4
57.0	EIF2S2
135.0	CUL5
135.0	TCEB2
-1	PSMC1
531.0	CNN1
531.0	ACTA1
207.0	NCAPH
-1	SMC4
236.0	APBA1
318.0	PSEN1
532.0	PPBP
532.0	CTSG
