clusters	score	genes
275	0.156871078438	PADI3:0.0,RAB33B:0.0,KRT19:0.0,MAP1LC3A:0.0,USP6:1.0,AKAP13:0.0,TGM2:0.0
331	0.156188956341	CENPJ:0.0,STIL:1.0,PLK2:0.0,CEP152:0.0,PLK4:0.0,CEP135:0.0
534	0.156129836381	BASP1:0.0,SLC2A1:0.0,CRYZ:0.0,ATF2:0.0
290	0.155766586423	LEO1:0.0,TSSK6:0.0,HIST1H3J:0.0,RTF1:0.0,PHF20L1:0.0,CTCFL:0.0
742	0.155131502963	NUP153:0.0,NUTF2:0.0,KPNB1:0.0
103	0.155048287622	SEMG1:0.0,CCNG1:0.0,CCNJ:0.0,ATP5D:0.0,AZGP1:0.0,APOO:0.0,CDK2:0.0,KPRP:0.0,FBXW4:0.0,MT-CO2:0.0,RRAS2:0.0,DHRS1:0.0,CKS1B:0.0
219	0.154579658409	TGIF2LY:0.0,IRF2BP1:0.0,PBXIP1:0.0,C1D:0.0,PCBD2:0.0,SSX5:0.0,KCNIP3:0.0,TAL2:1.0
1140	0.154314755321	BMI1:0.0,FOXS1:0.0
308	0.152560249897	FBXL19:0.0,PPP1R18:0.0,MAGEL2:0.0,ABCF3:0.0,TUFT1:0.0,TRIM27:1.0
594	0.15156812771	GSPT1:0.0,NPHS2:0.0,IQGAP1:0.0,RNASEL:0.0
